model,country,rmse,n_observations,country_rank
RW,AU,0.18771638763817797,191,1
AR(1),AU,0.19623722609851066,191,2
lightgbm,AU,0.2206217040265143,191,3
xgboost,AU,0.22765483832494232,191,4
AR(1),CA,0.4928147362926225,191,1
RW,CA,0.5050530012101834,191,2
lightgbm,CA,0.5567206893372681,191,3
xgboost,CA,0.6148536462609452,191,4
AR(1),DE,0.059409681555617974,191,1
RW,DE,0.06390437882890226,191,2
lightgbm,DE,0.18794545569531776,191,3
xgboost,DE,0.23084669032259578,191,4
RW,FR,0.15967899736331284,191,1
AR(1),FR,0.16054738528770116,191,2
xgboost,FR,0.2644551308461558,191,3
lightgbm,FR,0.28339299269424617,191,4
RW,GB,0.10853619079386324,191,1
AR(1),GB,0.11348943481036614,191,2
lightgbm,GB,0.208194384435523,191,3
xgboost,GB,0.2907060171440993,191,4
RW,IT,0.2767613749039838,191,1
AR(1),IT,0.3029088800969382,191,2
xgboost,IT,0.4623057077628518,191,3
lightgbm,IT,0.4915021777009207,191,4
AR(1),JP,0.10574945874990169,191,1
RW,JP,0.10584983930868952,191,2
lightgbm,JP,0.22366560071731884,191,3
xgboost,JP,0.25463775831047325,191,4
RW,KR,0.19280242443784243,191,1
AR(1),KR,0.19550565110458196,191,2
lightgbm,KR,0.2990172025315369,191,3
xgboost,KR,0.3856000449413636,191,4
lightgbm,US,0.8014786090099706,191,1
AR(1),US,0.8097313758539516,191,2
RW,US,0.8112913886375764,191,3
xgboost,US,0.8125293952791681,191,4
