model,country,MAE,RMSE,N
AR(1),DE,0.042996683931030025,0.059409681555617974,191
AR(1),JP,0.07877654105892984,0.1057494587499017,191
AR(1),GB,0.08751135077113632,0.11348943481036614,191
AR(1),FR,0.09961522070838646,0.16054738528770116,191
AR(1),KR,0.1385247038207161,0.19550565110458196,191
AR(1),AU,0.13980406784062918,0.19623722609851066,191
AR(1),IT,0.2167004327488978,0.3029088800969381,191
AR(1),CA,0.20643695262031536,0.4928147362926225,191
AR(1),US,0.22392956176391918,0.8097313758539516,191
RW,DE,0.038743455497382194,0.06390437882890226,191
RW,JP,0.07539267015706806,0.10584983930868952,191
RW,GB,0.07905759162303665,0.10853619079386324,191
RW,FR,0.08848167539267016,0.15967899736331284,191
RW,AU,0.13096600000000003,0.18771638763817797,191
RW,KR,0.13193717277486908,0.19280242443784243,191
RW,IT,0.18900523560209428,0.2767613749039838,191
RW,CA,0.2031413612565445,0.5050530012101834,191
RW,US,0.2094240837696335,0.8112913886375764,191
